12MH0004_001b,12MH0004_001,12MH0004,12MH,NULL,NULL,NULL,self,NULL,NULL,NULL,1851_1_2_2_04F_9,NULL,8,NULL,1 ears,NULL,NULL
12MH0005_001b,12MH0005_001,12MH0005,12MH,NULL,NULL,NULL,self,NULL,NULL,NULL,1851_1_2_2_04F_8,NULL,8,NULL,3 ears,NULL,NULL
12MH0010_001b,12MH0010_001,12MH0010,12MH,NULL,NULL,NULL,self,NULL,NULL,NULL,1851_1_2_2_06G_31,NULL,8,NULL,1 ears,NULL,NULL
12MH0011_001b,12MH0011_001,12MH0011,12MH,NULL,NULL,NULL,self,NULL,NULL,NULL,1851_1_2_2_06G_50,NULL,8,NULL,2 ears,NULL,NULL
12MH0027_001b,12MH0027_001,12MH0027,12MH,NULL,NULL,NULL,self,NULL,NULL,NULL,1851_1_2_2_10G_7,NULL,8,NULL,4 ears,NULL,NULL
12MH0028_001b,12MH0028_001,12MH0028,12MH,NULL,NULL,NULL,self,NULL,NULL,NULL,1851_1_2_2_10G_26,NULL,8,NULL,3 ears,NULL,NULL
12MH0030_001b,12MH0030_001,12MH0030,12MH,NULL,NULL,NULL,self,NULL,NULL,NULL,1851_1_2_2_10H_57,NULL,8,NULL,1 ears,NULL,NULL
12MH0031_001b,12MH0031_001,12MH0031,12MH,NULL,NULL,NULL,self,NULL,NULL,NULL,1851_1_2_2_10H_86,NULL,8,NULL,3 ears,NULL,NULL
12MH0039_001b,12MH0039_001,12MH0039,12MH,NULL,NULL,NULL,self,NULL,NULL,NULL,1851_1_2_2_11C_36,NULL,8,NULL,1 ears,NULL,NULL
12MH0040_001b,12MH0040_001,12MH0040,12MH,NULL,NULL,NULL,self,NULL,NULL,NULL,1851_1_2_2_11C_57,NULL,8,NULL,3 ears,NULL,NULL
12MH0043_001b,12MH0043_001,12MH0043,12MH,NULL,NULL,NULL,self,NULL,NULL,NULL,1851_1_2_2_11E_7,NULL,8,NULL,3 ears,NULL,NULL
12MH0044_001b,12MH0044_001,12MH0044,12MH,NULL,NULL,NULL,self,NULL,NULL,NULL,1851_1_2_2_11E_11,NULL,8,NULL,1 ears,NULL,NULL
12MH0052_001b,12MH0052_001,12MH0052,12MH,NULL,NULL,NULL,self,NULL,NULL,NULL,1851_1_2_2_11H_33,NULL,8,NULL,1 ears,NULL,NULL
12MH0053_001b,12MH0053_001,12MH0053,12MH,NULL,NULL,NULL,self,NULL,NULL,NULL,1851_1_2_2_11H_22,NULL,8,NULL,2 ears,NULL,NULL
12MN0001_001s,12MN0001_001,12MN0001,12MN,NULL,6621,NULL,self,NULL,NULL,NULL,NULL,NULL,8,NULL,packets labeled by row_name,NULL,NULL
12MN0001_002s,12MN0001_002,12MN0001,12MN,NULL,6621,NULL,self,NULL,NULL,NULL,NULL,NULL,8,NULL,packets labeled by row_name,NULL,NULL
12MN0002_001s,12MN0002_001,12MN0002,12MN,NULL,6622,NULL,self,NULL,NULL,NULL,NULL,NULL,8,NULL,packets labeled by row_name,NULL,NULL
12MN0002_002s,12MN0002_002,12MN0002,12MN,NULL,6622,NULL,self,NULL,NULL,NULL,NULL,NULL,8,NULL,packets labeled by row_name,NULL,NULL
12MN0003_001s,12MN0003_001,12MN0003,12MN,NULL,6623,NULL,self,NULL,NULL,NULL,NULL,NULL,8,NULL,packets labeled by row_name,NULL,NULL
12MN0003_002s,12MN0003_002,12MN0003,12MN,NULL,6623,NULL,self,NULL,NULL,NULL,NULL,NULL,8,NULL,packets labeled by row_name,NULL,NULL
12MN0004_001s,12MN0004_001,12MN0004,12MN,NULL,6624,NULL,self,NULL,NULL,NULL,NULL,NULL,8,NULL,packets labeled by row_name,NULL,NULL
12MN0004_002s,12MN0004_002,12MN0004,12MN,NULL,6624,NULL,self,NULL,NULL,NULL,NULL,NULL,8,NULL,packets labeled by row_name,NULL,NULL
